"DateTime";"IPhone[en]"
"2008-06-12 00:00:00";26669
"2008-06-13 00:00:00";19259
"2008-06-14 00:00:00";17250
"2008-06-15 00:00:00";18765
"2008-06-16 00:00:00";21539
"2008-06-17 00:00:00";19872
"2008-06-18 00:00:00";16398
"2008-06-19 00:00:00";15409
"2008-06-20 00:00:00";14902
"2008-06-21 00:00:00";13668
"2008-06-22 00:00:00";14404
"2008-06-23 00:00:00";16787
"2008-06-24 00:00:00";17365
"2008-06-25 00:00:00";16716
"2008-06-26 00:00:00";16424
"2008-06-27 00:00:00";16140
"2008-06-28 00:00:00";14280
"2008-06-29 00:00:00";14985
"2008-06-30 00:00:00";18463
"2008-07-01 00:00:00";18368
"2008-07-02 00:00:00";19307
"2008-07-03 00:00:00";17555
"2008-07-04 00:00:00";18543
"2008-07-05 00:00:00";12117
"2008-07-06 00:00:00";11541
"2008-07-07 00:00:00";15134
"2008-07-08 00:00:00";14401
"2008-07-09 00:00:00";14680
"2008-07-10 00:00:00";17847
"2008-07-11 00:00:00";33917
"2008-07-12 00:00:00";21695
"2008-07-13 00:00:00";18048
"2008-07-14 00:00:00";19604
"2008-07-15 00:00:00";16488
"2008-07-16 00:00:00";14721
"2008-07-17 00:00:00";13413
"2008-07-18 00:00:00";12486
"2008-07-19 00:00:00";10260
"2008-07-20 00:00:00";10256
"2008-07-21 00:00:00";13250
"2008-07-22 00:00:00";12731
"2008-07-23 00:00:00";11598
"2008-07-24 00:00:00";11230
"2008-07-25 00:00:00";10432
"2008-07-26 00:00:00";8864
"2008-07-27 00:00:00";8876
"2008-07-28 00:00:00";11456
"2008-07-29 00:00:00";10920
"2008-07-30 00:00:00";10653
"2008-07-31 00:00:00";10046
"2008-08-01 00:00:00";9498
"2008-08-02 00:00:00";8940
"2008-08-03 00:00:00";8354
"2008-08-04 00:00:00";9480
"2008-08-05 00:00:00";10197
"2008-08-06 00:00:00";9970
"2008-08-07 00:00:00";10017
"2008-08-08 00:00:00";9232
"2008-08-09 00:00:00";8475
"2008-08-10 00:00:00";7591
"2008-08-11 00:00:00";9666
"2008-08-12 00:00:00";9215
"2008-08-13 00:00:00";9349
"2008-08-14 00:00:00";8439
"2008-08-15 00:00:00";7975
"2008-08-16 00:00:00";6795
"2008-08-17 00:00:00";6999
"2008-08-18 00:00:00";9008
"2008-08-19 00:00:00";9326
"2008-08-20 00:00:00";9199
"2008-08-21 00:00:00";10252
"2008-08-22 00:00:00";12213
"2008-08-23 00:00:00";9112
"2008-08-24 00:00:00";8806
"2008-08-25 00:00:00";10449
"2008-08-26 00:00:00";10342
"2008-08-27 00:00:00";10028
"2008-08-28 00:00:00";9522
"2008-08-29 00:00:00";8903
"2008-08-30 00:00:00";7369
"2008-08-31 00:00:00";7870
"2008-09-01 00:00:00";8763
"2008-09-02 00:00:00";9030
"2008-09-03 00:00:00";9013
"2008-09-04 00:00:00";8739
"2008-09-05 00:00:00";8091
"2008-09-06 00:00:00";7582
"2008-09-07 00:00:00";7950
"2008-09-08 00:00:00";9225
"2008-09-09 00:00:00";10154
"2008-09-10 00:00:00";9837
"2008-09-11 00:00:00";9491
"2008-09-12 00:00:00";9224
"2008-09-13 00:00:00";8138
"2008-09-14 00:00:00";8226
"2008-09-15 00:00:00";8852
"2008-09-16 00:00:00";8849
"2008-09-17 00:00:00";8177
"2008-09-18 00:00:00";8124
"2008-09-19 00:00:00";7329
"2008-09-20 00:00:00";7044
"2008-09-21 00:00:00";7924
"2008-09-22 00:00:00";8979
"2008-09-23 00:00:00";9519
"2008-09-24 00:00:00";9764
"2008-09-25 00:00:00";8958
"2008-09-26 00:00:00";8532
"2008-09-27 00:00:00";7555
"2008-09-28 00:00:00";8364
"2008-09-29 00:00:00";9365
"2008-09-30 00:00:00";8230
"2008-10-01 00:00:00";8809
"2008-10-02 00:00:00";8849
"2008-10-03 00:00:00";7939
"2008-10-04 00:00:00";7133
"2008-10-05 00:00:00";7695
"2008-10-06 00:00:00";9098
"2008-10-07 00:00:00";8794
"2008-10-08 00:00:00";8388
"2008-10-09 00:00:00";8293
"2008-10-10 00:00:00";7646
"2008-10-11 00:00:00";6599
"2008-10-12 00:00:00";7237
"2008-10-13 00:00:00";8526
"2008-10-14 00:00:00";8487
"2008-10-15 00:00:00";8241
"2008-10-16 00:00:00";8242
"2008-10-17 00:00:00";7687
"2008-10-18 00:00:00";6523
"2008-10-19 00:00:00";6967
"2008-10-20 00:00:00";8285
"2008-10-21 00:00:00";3468
"2008-10-22 00:00:00";5042
"2008-10-23 00:00:00";8863
"2008-10-24 00:00:00";7807
"2008-10-25 00:00:00";6586
"2008-10-26 00:00:00";7352
"2008-10-27 00:00:00";8410
"2008-10-28 00:00:00";8930
"2008-10-29 00:00:00";7675
"2008-10-30 00:00:00";7083
"2008-10-31 00:00:00";6509
"2008-11-01 00:00:00";5763
"2008-11-02 00:00:00";6573
"2008-11-03 00:00:00";7537
"2008-11-04 00:00:00";7182
"2008-11-05 00:00:00";6061
"2008-11-06 00:00:00";6382
"2008-11-07 00:00:00";6630
"2008-11-08 00:00:00";5995
"2008-11-09 00:00:00";7031
"2008-11-10 00:00:00";8255
"2008-11-11 00:00:00";8179
"2008-11-12 00:00:00";7891
"2008-11-13 00:00:00";7854
"2008-11-14 00:00:00";7397
"2008-11-15 00:00:00";7073
"2008-11-16 00:00:00";7745
"2008-11-17 00:00:00";9106
"2008-11-18 00:00:00";8549
"2008-11-19 00:00:00";7850
"2008-11-20 00:00:00";7750
"2008-11-21 00:00:00";8310
"2008-11-22 00:00:00";7480
"2008-11-23 00:00:00";8075
"2008-11-24 00:00:00";9091
"2008-11-25 00:00:00";8941
"2008-11-26 00:00:00";8377
"2008-11-27 00:00:00";7957
"2008-11-28 00:00:00";7920
"2008-11-29 00:00:00";7619
"2008-11-30 00:00:00";7846
"2008-12-01 00:00:00";8876
"2008-12-02 00:00:00";8590
"2008-12-03 00:00:00";8361
"2008-12-04 00:00:00";8016
"2008-12-05 00:00:00";7679
"2008-12-06 00:00:00";6978
"2008-12-07 00:00:00";7293
"2008-12-08 00:00:00";8108
