"DateTime";"MacBook[en]"
"2008-06-12 00:00:00";1739
"2008-06-13 00:00:00";1564
"2008-06-14 00:00:00";1445
"2008-06-15 00:00:00";1705
"2008-06-16 00:00:00";1936
"2008-06-17 00:00:00";2023
"2008-06-18 00:00:00";1887
"2008-06-19 00:00:00";1768
"2008-06-20 00:00:00";1608
"2008-06-21 00:00:00";1514
"2008-06-22 00:00:00";1584
"2008-06-23 00:00:00";1970
"2008-06-24 00:00:00";2064
"2008-06-25 00:00:00";1772
"2008-06-26 00:00:00";1699
"2008-06-27 00:00:00";1794
"2008-06-28 00:00:00";1493
"2008-06-29 00:00:00";1571
"2008-06-30 00:00:00";1923
"2008-07-01 00:00:00";1766
"2008-07-02 00:00:00";1732
"2008-07-03 00:00:00";1877
"2008-07-04 00:00:00";2703
"2008-07-05 00:00:00";1593
"2008-07-06 00:00:00";1578
"2008-07-07 00:00:00";1732
"2008-07-08 00:00:00";1515
"2008-07-09 00:00:00";1422
"2008-07-10 00:00:00";1424
"2008-07-11 00:00:00";1413
"2008-07-12 00:00:00";1264
"2008-07-13 00:00:00";1264
"2008-07-14 00:00:00";1527
"2008-07-15 00:00:00";1483
"2008-07-16 00:00:00";1455
"2008-07-17 00:00:00";1365
"2008-07-18 00:00:00";1273
"2008-07-19 00:00:00";1133
"2008-07-20 00:00:00";1284
"2008-07-21 00:00:00";1631
"2008-07-22 00:00:00";1411
"2008-07-23 00:00:00";1375
"2008-07-24 00:00:00";1384
"2008-07-25 00:00:00";1323
"2008-07-26 00:00:00";1047
"2008-07-27 00:00:00";1248
"2008-07-28 00:00:00";1530
"2008-07-29 00:00:00";1564
"2008-07-30 00:00:00";1393
"2008-07-31 00:00:00";1316
"2008-08-01 00:00:00";1373
"2008-08-02 00:00:00";1134
"2008-08-03 00:00:00";942
"2008-08-04 00:00:00";1427
"2008-08-05 00:00:00";1534
"2008-08-06 00:00:00";1352
"2008-08-07 00:00:00";1379
"2008-08-08 00:00:00";1235
"2008-08-09 00:00:00";2634
"2008-08-10 00:00:00";1443
"2008-08-11 00:00:00";1620
"2008-08-12 00:00:00";1676
"2008-08-13 00:00:00";1208
"2008-08-14 00:00:00";1295
"2008-08-15 00:00:00";1296
"2008-08-16 00:00:00";1233
"2008-08-17 00:00:00";1210
"2008-08-18 00:00:00";1193
"2008-08-19 00:00:00";1506
"2008-08-20 00:00:00";1493
"2008-08-21 00:00:00";1276
"2008-08-22 00:00:00";1293
"2008-08-23 00:00:00";1110
"2008-08-24 00:00:00";1290
"2008-08-25 00:00:00";1439
"2008-08-26 00:00:00";1489
"2008-08-27 00:00:00";1415
"2008-08-28 00:00:00";1463
"2008-08-29 00:00:00";1393
"2008-08-30 00:00:00";1247
"2008-08-31 00:00:00";1278
"2008-09-01 00:00:00";1391
"2008-09-02 00:00:00";1418
"2008-09-03 00:00:00";1446
"2008-09-04 00:00:00";1379
"2008-09-05 00:00:00";1393
"2008-09-06 00:00:00";1275
"2008-09-07 00:00:00";1481
"2008-09-08 00:00:00";1579
"2008-09-09 00:00:00";1826
"2008-09-10 00:00:00";1699
"2008-09-11 00:00:00";1498
"2008-09-12 00:00:00";1594
"2008-09-13 00:00:00";1513
"2008-09-14 00:00:00";1573
"2008-09-15 00:00:00";1584
"2008-09-16 00:00:00";1730
"2008-09-17 00:00:00";1555
"2008-09-18 00:00:00";1475
"2008-09-19 00:00:00";1369
"2008-09-20 00:00:00";1288
"2008-09-21 00:00:00";1388
"2008-09-22 00:00:00";1519
"2008-09-23 00:00:00";1443
"2008-09-24 00:00:00";1470
"2008-09-25 00:00:00";1372
"2008-09-26 00:00:00";1273
"2008-09-27 00:00:00";1230
"2008-09-28 00:00:00";1226
"2008-09-29 00:00:00";1462
"2008-09-30 00:00:00";1362
"2008-10-01 00:00:00";1355
"2008-10-02 00:00:00";1365
"2008-10-03 00:00:00";1423
"2008-10-04 00:00:00";1284
"2008-10-05 00:00:00";1425
"2008-10-06 00:00:00";1644
"2008-10-07 00:00:00";1516
"2008-10-08 00:00:00";1490
"2008-10-09 00:00:00";1658
"2008-10-10 00:00:00";1750
"2008-10-11 00:00:00";1491
"2008-10-12 00:00:00";1536
"2008-10-13 00:00:00";2010
"2008-10-14 00:00:00";5581
"2008-10-15 00:00:00";8018
"2008-10-16 00:00:00";4896
"2008-10-17 00:00:00";3537
"2008-10-18 00:00:00";3211
"2008-10-19 00:00:00";3153
"2008-10-20 00:00:00";3003
"2008-10-21 00:00:00";1202
"2008-10-22 00:00:00";1342
"2008-10-23 00:00:00";2291
"2008-10-24 00:00:00";2132
"2008-10-25 00:00:00";2073
"2008-10-26 00:00:00";2247
"2008-10-27 00:00:00";2303
"2008-10-28 00:00:00";2408
"2008-10-29 00:00:00";2314
"2008-10-30 00:00:00";1802
"2008-10-31 00:00:00";1659
"2008-11-01 00:00:00";1410
"2008-11-02 00:00:00";1732
"2008-11-03 00:00:00";1731
"2008-11-04 00:00:00";1701
"2008-11-05 00:00:00";1467
"2008-11-06 00:00:00";1672
"2008-11-07 00:00:00";1551
"2008-11-08 00:00:00";1602
"2008-11-09 00:00:00";1658
"2008-11-10 00:00:00";1684
"2008-11-11 00:00:00";1794
"2008-11-12 00:00:00";1691
"2008-11-13 00:00:00";1691
"2008-11-14 00:00:00";1500
"2008-11-15 00:00:00";1442
"2008-11-16 00:00:00";1734
"2008-11-17 00:00:00";1753
"2008-11-18 00:00:00";1784
"2008-11-19 00:00:00";1639
"2008-11-20 00:00:00";1538
"2008-11-21 00:00:00";1518
"2008-11-22 00:00:00";1460
"2008-11-23 00:00:00";1666
"2008-11-24 00:00:00";1632
"2008-11-25 00:00:00";1701
"2008-11-26 00:00:00";1747
"2008-11-27 00:00:00";1810
"2008-11-28 00:00:00";1980
"2008-11-29 00:00:00";1664
"2008-11-30 00:00:00";1875
"2008-12-01 00:00:00";1977
"2008-12-02 00:00:00";1877
"2008-12-03 00:00:00";1785
"2008-12-04 00:00:00";1598
"2008-12-05 00:00:00";1509
"2008-12-06 00:00:00";1414
"2008-12-07 00:00:00";1514
"2008-12-08 00:00:00";1421
"2008-12-09 00:00:00";1488
"2008-12-10 00:00:00";1497
"2008-12-11 00:00:00";1446
"2008-12-12 00:00:00";1412
"2008-12-13 00:00:00";1382
"2008-12-14 00:00:00";1417
"2008-12-15 00:00:00";1565
"2008-12-16 00:00:00";1514
"2008-12-17 00:00:00";1505
"2008-12-18 00:00:00";1526
"2008-12-19 00:00:00";1404
"2008-12-20 00:00:00";1359
"2008-12-21 00:00:00";1296
"2008-12-22 00:00:00";1527
"2008-12-23 00:00:00";1482
"2008-12-24 00:00:00";1256
"2008-12-25 00:00:00";1345
"2008-12-26 00:00:00";1528
"2008-12-27 00:00:00";1494
"2008-12-28 00:00:00";1490
"2008-12-29 00:00:00";1534
"2008-12-30 00:00:00";1533
"2008-12-31 00:00:00";1393
"2009-01-01 00:00:00";1153
"2009-01-02 00:00:00";1535
"2009-01-03 00:00:00";1390
"2009-01-04 00:00:00";1406
"2009-01-05 00:00:00";1709
"2009-01-06 00:00:00";1444
"2009-01-07 00:00:00";1913
"2009-01-08 00:00:00";1642
"2009-01-09 00:00:00";1632
"2009-01-10 00:00:00";1559
"2009-01-11 00:00:00";1731
"2009-01-12 00:00:00";1754
"2009-01-13 00:00:00";1640
"2009-01-14 00:00:00";1607
"2009-01-15 00:00:00";1823
"2009-01-16 00:00:00";1664
"2009-01-17 00:00:00";1490
"2009-01-18 00:00:00";1700
"2009-01-19 00:00:00";1826
"2009-01-20 00:00:00";1562
"2009-01-21 00:00:00";1666
"2009-01-22 00:00:00";1830
"2009-01-23 00:00:00";1919
"2009-01-24 00:00:00";2061
"2009-01-25 00:00:00";1910
"2009-01-26 00:00:00";1985
"2009-01-27 00:00:00";1871
"2009-01-28 00:00:00";1645
"2009-01-29 00:00:00";1607
"2009-01-30 00:00:00";1504
"2009-01-31 00:00:00";1476
"2009-02-01 00:00:00";1545
"2009-02-02 00:00:00";1489
"2009-02-03 00:00:00";1598
"2009-02-04 00:00:00";1633
"2009-02-05 00:00:00";1582
"2009-02-06 00:00:00";1590
"2009-02-07 00:00:00";1502
"2009-02-08 00:00:00";1760
"2009-02-09 00:00:00";1658
"2009-02-10 00:00:00";1666
"2009-02-11 00:00:00";1613
"2009-02-12 00:00:00";1545
"2009-02-13 00:00:00";1471
"2009-02-14 00:00:00";1335
"2009-02-15 00:00:00";1512
"2009-02-16 00:00:00";1711
"2009-02-17 00:00:00";1695
"2009-02-18 00:00:00";1720
"2009-02-19 00:00:00";1647
"2009-02-20 00:00:00";1559
"2009-02-21 00:00:00";1477
"2009-02-22 00:00:00";1554
"2009-02-23 00:00:00";1750
"2009-02-24 00:00:00";1680
"2009-02-25 00:00:00";1658
"2009-02-26 00:00:00";1754
"2009-02-27 00:00:00";1578
"2009-02-28 00:00:00";1608
"2009-03-01 00:00:00";1659
"2009-03-02 00:00:00";1841
"2009-03-03 00:00:00";1898
"2009-03-04 00:00:00";1906
"2009-03-05 00:00:00";1814
"2009-03-06 00:00:00";1463
"2009-03-07 00:00:00";1482
"2009-03-08 00:00:00";1735
"2009-03-09 00:00:00";1606
"2009-03-10 00:00:00";1627
"2009-03-11 00:00:00";1715
"2009-03-12 00:00:00";1622
"2009-03-13 00:00:00";1591
"2009-03-14 00:00:00";1562
"2009-03-15 00:00:00";1621
"2009-03-16 00:00:00";1720
"2009-03-17 00:00:00";1581
"2009-03-18 00:00:00";1608
"2009-03-19 00:00:00";1545
"2009-03-20 00:00:00";1489
"2009-03-21 00:00:00";1519
"2009-03-22 00:00:00";1547
"2009-03-23 00:00:00";1765
"2009-03-24 00:00:00";1657
"2009-03-25 00:00:00";1559
"2009-03-26 00:00:00";1641
"2009-03-27 00:00:00";1657
"2009-03-28 00:00:00";1541
"2009-03-29 00:00:00";1655
"2009-03-30 00:00:00";1731
"2009-03-31 00:00:00";1626
"2009-04-01 00:00:00";1581
"2009-04-02 00:00:00";1561
"2009-04-03 00:00:00";1467
"2009-04-04 00:00:00";1454
"2009-04-05 00:00:00";1492
"2009-04-06 00:00:00";1805
"2009-04-07 00:00:00";1699
"2009-04-08 00:00:00";1736
"2009-04-09 00:00:00";1611
"2009-04-10 00:00:00";1472
"2009-04-11 00:00:00";1414
"2009-04-12 00:00:00";1370
"2009-04-13 00:00:00";1593
"2009-04-14 00:00:00";1604
"2009-04-15 00:00:00";1494
"2009-04-16 00:00:00";1559
"2009-04-17 00:00:00";1458
"2009-04-18 00:00:00";1372
"2009-04-19 00:00:00";1430
"2009-04-20 00:00:00";1590
"2009-04-21 00:00:00";1465
"2009-04-22 00:00:00";1522
"2009-04-23 00:00:00";1506
"2009-04-24 00:00:00";1396
"2009-04-25 00:00:00";1453
"2009-04-26 00:00:00";1553
"2009-04-27 00:00:00";1589
"2009-04-28 00:00:00";1508
"2009-04-29 00:00:00";1428
"2009-04-30 00:00:00";1530
"2009-05-01 00:00:00";1398
"2009-05-02 00:00:00";1431
"2009-05-03 00:00:00";1476
"2009-05-04 00:00:00";1603
"2009-05-05 00:00:00";1686
"2009-05-06 00:00:00";1561
"2009-05-07 00:00:00";1464
"2009-05-08 00:00:00";1440
"2009-05-09 00:00:00";1331
"2009-05-10 00:00:00";1492
"2009-05-11 00:00:00";1587
"2009-05-12 00:00:00";1422
"2009-05-13 00:00:00";1686
"2009-05-14 00:00:00";1628
"2009-05-15 00:00:00";1443
"2009-05-16 00:00:00";1416
"2009-05-17 00:00:00";1512
"2009-05-18 00:00:00";1706
"2009-05-19 00:00:00";1643
"2009-05-20 00:00:00";1529
"2009-05-21 00:00:00";1549
"2009-05-22 00:00:00";1448
"2009-05-23 00:00:00";1243
"2009-05-24 00:00:00";1360
"2009-05-25 00:00:00";1508
"2009-05-26 00:00:00";1628
"2009-05-27 00:00:00";1876
"2009-05-28 00:00:00";1939
"2009-05-29 00:00:00";1652
"2009-05-30 00:00:00";1562
"2009-05-31 00:00:00";1729
"2009-06-01 00:00:00";1862
"2009-06-02 00:00:00";1815
"2009-06-03 00:00:00";1885
"2009-06-04 00:00:00";1797
"2009-06-05 00:00:00";1716
"2009-06-06 00:00:00";1610
"2009-06-07 00:00:00";1506
"2009-06-08 00:00:00";3294
"2009-06-09 00:00:00";4021
"2009-06-10 00:00:00";2905
"2009-06-11 00:00:00";2543
"2009-06-12 00:00:00";2336
"2009-06-13 00:00:00";1961
"2009-06-14 00:00:00";1916
"2009-06-15 00:00:00";2192
"2009-06-16 00:00:00";1852
"2009-06-17 00:00:00";1833
"2009-06-18 00:00:00";1732
"2009-06-19 00:00:00";1506
"2009-06-20 00:00:00";1425
"2009-06-21 00:00:00";1483
"2009-06-22 00:00:00";1732
"2009-06-23 00:00:00";1663
"2009-06-24 00:00:00";1612
"2009-06-25 00:00:00";1525
"2009-06-26 00:00:00";1278
"2009-06-27 00:00:00";1119
"2009-06-28 00:00:00";1303
"2009-06-29 00:00:00";1482
"2009-06-30 00:00:00";1465
"2009-07-01 00:00:00";1536
"2009-07-02 00:00:00";1461
"2009-07-03 00:00:00";1195
"2009-07-04 00:00:00";1149
"2009-07-05 00:00:00";1261
"2009-07-06 00:00:00";1528
"2009-07-07 00:00:00";1446
"2009-07-08 00:00:00";1486
"2009-07-09 00:00:00";1454
"2009-07-10 00:00:00";1280
"2009-07-11 00:00:00";1219
"2009-07-12 00:00:00";1168
"2009-07-13 00:00:00";1423
"2009-07-14 00:00:00";1492
"2009-07-15 00:00:00";1436
"2009-07-16 00:00:00";1404
"2009-07-17 00:00:00";1276
"2009-07-18 00:00:00";1162
"2009-07-19 00:00:00";1243
"2009-07-20 00:00:00";1469
"2009-07-21 00:00:00";1468
"2009-07-22 00:00:00";1645
"2009-07-23 00:00:00";1909
"2009-07-24 00:00:00";1402
"2009-07-25 00:00:00";1188
"2009-07-26 00:00:00";1259
"2009-07-27 00:00:00";1551
"2009-07-28 00:00:00";1537
"2009-07-29 00:00:00";1609
"2009-07-30 00:00:00";1517
"2009-07-31 00:00:00";1431
"2009-08-01 00:00:00";1161
"2009-08-02 00:00:00";1306
"2009-08-03 00:00:00";1509
"2009-08-04 00:00:00";1526
"2009-08-05 00:00:00";1519
"2009-08-06 00:00:00";1424
"2009-08-07 00:00:00";1448
"2009-08-08 00:00:00";1231
"2009-08-09 00:00:00";1262
"2009-08-10 00:00:00";1620
"2009-08-11 00:00:00";1658
"2009-08-12 00:00:00";1568
"2009-08-13 00:00:00";1562
"2009-08-14 00:00:00";1448
"2009-08-15 00:00:00";1376
"2009-08-16 00:00:00";1399
"2009-08-17 00:00:00";1568
"2009-08-18 00:00:00";1595
"2009-08-19 00:00:00";1473
"2009-08-20 00:00:00";1483
"2009-08-21 00:00:00";1464
"2009-08-22 00:00:00";1221
"2009-08-23 00:00:00";1411
"2009-08-24 00:00:00";1846
"2009-08-25 00:00:00";1959
"2009-08-26 00:00:00";1918
"2009-08-27 00:00:00";1826
"2009-08-28 00:00:00";1928
"2009-08-29 00:00:00";1762
"2009-08-30 00:00:00";1887
"2009-08-31 00:00:00";2061
"2009-09-01 00:00:00";1950
"2009-09-02 00:00:00";1977
"2009-09-03 00:00:00";1896
"2009-09-04 00:00:00";1718
"2009-09-05 00:00:00";1616
"2009-09-06 00:00:00";1666
"2009-09-07 00:00:00";1834
"2009-09-08 00:00:00";1786
"2009-09-09 00:00:00";1836
"2009-09-10 00:00:00";1896
"2009-09-11 00:00:00";1731
"2009-09-12 00:00:00";1637
"2009-09-13 00:00:00";1714
"2009-09-14 00:00:00";1905
"2009-09-15 00:00:00";1812
"2009-09-16 00:00:00";1818
"2009-09-17 00:00:00";1790
"2009-09-18 00:00:00";1593
"2009-09-19 00:00:00";1465
"2009-09-20 00:00:00";1524
"2009-09-21 00:00:00";915
"2009-09-22 00:00:00";0
"2009-09-23 00:00:00";0
"2009-09-24 00:00:00";0
"2009-09-25 00:00:00";0
"2009-09-26 00:00:00";0
"2009-09-27 00:00:00";0
"2009-09-28 00:00:00";0
"2009-09-29 00:00:00";0
"2009-09-30 00:00:00";0
"2009-10-01 00:00:00";1467
"2009-10-02 00:00:00";1394
"2009-10-03 00:00:00";1391
"2009-10-04 00:00:00";1491
"2009-10-05 00:00:00";1570
"2009-10-06 00:00:00";1597
"2009-10-07 00:00:00";1617
"2009-10-08 00:00:00";1521
